mz	time	Name	Calibration
146.0458	20	Glutamate	0
145.0983	69	Lysine	0
154.0622	23	Histidine	0
203.0826	26	Tryptophan	0
173.1044	23	Arginine	0
361.163	24	Thyrotropin Releasing Hormone	0
523.8861	31	Diiodothyronine	0
775.6794	72	Thyroxine	1
158.0611	60	Indole-3-acetaldehyde	0
174.0561	27	Indoleacetate	0
189.0881	19	Diaminopimelate	0
174.0408	21	N-Acetylaspartate	0
188.0564	21	Acetylglutamate	0
190.0543	22	Acetylmethionine	0
87.0087	20	Pyruvate	0
89.0244	22	Lactate	0
101.0244	22	Acetoacetate	0
101.0244	22	2-Ketobutyric acid	0
191.0197	19	Citric acid	0
191.0197	19	Isocitric acid	0
173.0091	19	(Cis	0
145.0142	21	??-Ketoglutarate (Oxoglutarate)	0
117.0193	21	Succinic acid	0
117.0193	21	Methylmalonic acid	0
115.0037	21	Fumaric acid	0
133.0143	21	Malic acid	0
103.0401	23	??-OH-butyrate	0
103.0401	23	??-OH butyrate	0
105.0193	20	Glyceric acid	0
115.0401	20	Oxovaleric acid	0
115.0401	20	??-Ketoisovalerate (Ketovaline)	0
115.0401	20	Oxovalerate	0
129.0557	24	??-Ketoisocaproate (Ketoleucine)	0
129.0557	24	??-Keto-??-methyl-valerate (Ketoisoleucine)	0
129.0557	24	Ketoleucine	0
161.0456	23	Hydroxymethylglutarate	0
147.0663	22	Mevalonic acid	0
129.0193	22	2-Methylmaleate	0
131.035	25	Glutaric acid	0
131.035	21	Ethylmalonic acid	0
145.0506	25	Adipate	0
159.0299	21	Oxoadipic acid	0
161.0455	0	Hydroxyadipic acid	0
171.0299	20	Dehydroshikimate	0
173.0456	18	Shikimic acid	0
173.0819	25	Suberate	0
187.0976	25	Azelaic acid	0
121.0295	23	Benzoate	0
137.0244	24	2-Hydroxybenzoate (Salicylic acid)	0
137.0244	24	3-Hydroxybenzoate	0
137.0244	24	4-Hydroxybenzoate	0
137.0244	24	Hydroxybenzoate	0
153.0193	24	"2,4-Dihydroxybenzoate"	0
153.0193	24	"3,5-Dihydroxybenzoate"	0
153.0193	24	"2,6-Dihydroxybenzoate"	0
153.0193	24	"2,3-Dihydroxybenzoate (2-pyrocatechuate)"	0
153.0193	24	"3,4-Dihydroxybenzoate (Protocatechuic acid)"	0
153.0193	24	"2,5-Dihydroxybenzoate (Gentisic acid)"	0
153.0193	24	Dihydroxybenzoate	0
135.0452	26	2-Phenylacetate	0
151.0401	24	Mandelic acid	0
151.0401	0	2-Methoxybenzoic acid	0
151.0401	0	3-Methoxybenzoic acid	0
151.0401	24	p-Hydroxyphenylacetic acid	0
151.0401	24	o-Hydroxyphenylacetic acid	0
151.0401	25	m-Hydroxyphenylacetic acid	0
151.0401	0	Vanillin	0
151.0401	25	Hydroxyphenylacetate	0
167.035	0	Vanillic acid	0
167.035	0	m-Hydroxymandelic acid	0
167.035	0	p-Hydroxymandelic acid	0
167.035	25	Homogentisate	0
147.0448	30	Cinnamic acid	0
163.0401	25	Coumarate	0
181.0495	31	Caffeic acid	0
149.0608	0	4-Ethylbenzoic acid	0
149.0608	36	Hydrocinnamic acid	1
149.0608	0	2-Phenylpropionate	0
181.0506	23	Hydroxyphenyllactate	0
181.0506	23	Homovanillate	0
181.0506	23	"3,4-Dihydroxyphenylpropionic acid (DHPP)"	0
181.0506	23	Hydroxyphenyllactate	0
165.0558	25	Hydroxyphenylpropionate	0
197.0456	24	Vanillylmandelate	0
191.0561	22	Quinic acid	0
