mz	time	Name	Calibration
126.03198	240	(2-AMINOETHYL)PHOSPHONATE	0
194.9876	72.5	"(R,R)-TARTARIC ACID"	0
178.9927	43.2	(R)-MALATE	0
151.02424	73.4	"(S,S)-TARTARIC ACID"	0
159.04056	144	(S)-DIHYDROOROTATE	0
178.9927	43.2	(S)-MALATE	0
163.1235	36.7	(S)-NICOTINE	0
153.0769	80.4	[13C5]-L-glutamic acid	1
209.0724	60	[13C6]-D-glucose	1
105.104	42	[15N]-choline chloride	1
119.0685	48	[15N]-indole	1
183.0783	56.4	[15N]-L-tyrosine	0
148.1098	120	[2-15N]-L-lysine dihydrochloride	1
243.038	216	"[3,3-13C2]-cystine"	1
198.0977	30	[trimethyl-13C3]-caffeine	1
102.05548	59.4	1-AMINOCYCLOPROPANE-1-CARBOXYLATE	0
180.102435	32.1	"1-METHYL-6,7-DIHYDROXY-1,2,3,4-TETRAHYDROISOQUINOLINE"	0
282.12021	40.5	1-METHYLADENOSINE	0
138.078738	44	1-METHYLNICOTINAMIDE	0
144.0813	49.3	1-NAPHTHYLAMINE	1
357.30046	27.1	1-OLEOYL-RAC-GLYCEROL	0
566.38216	37.8	"1,2-DIDECANOYL-SN-GLYCERO-3-PHOSPHOCHOLINE"	0
569.51448	27.7	"1,2-DIPALMITOYL-SN-GLYCEROL"	0
189.14905	28.7	10-HYDROXYDECANOATE	0
104.07113	70.2	2-AMINO-2-METHYLPROPANOATE	1
142.0269	126.7	2-AMINOETHYL DIHYDROGEN PHOSPHATE	0
110.06056	30.7	2-AMINOPHENOL	0
250.094	42.6	2-DEOXYADENOSINE	0
308.06474	147.2	2-DEOXYCYTIDINE 5-MONOPHOSPHATE	1
348.07089	177.8	2-DEOXYGUANOSINE 5-MONOPHOSPHATE	0
96.04491	43.4	2-HYDROXYPYRIDINE	0
131.03441	81.4	2-METHYLMALEATE	1
131.03441	81.4	2-METHYLMALEATE; ITACONATE	1
103.0395	70.8	2-OXOBUTANOATE	1
174.05548	31.3	2-QUINOLINECARBOXYLIC ACID	0
153.05515	29.4	"2,4-DIHYDROXYACETOPHENONE"	0
112.03982	85.2	"2,6-DIHYDROXYPYRIDINE"	0
403.35758	27	25-HYDROXYCHOLESTEROL	0
154.05039	32.4	3-AMINO-4-HYDROXYBENZOIC ACID	1
154.0504	33	3-AMINO-5-HYDROXYBENZOIC ACID	1
104.07113	70.5	3-AMINOISOBUTANOATE	0
324.05966	165.3	3-CMP	0
173.04497	41	3-DEHYDROSHIKIMATE	0
154.05039	30.5	3-HYDROXYANTHRANILATE	0
123.04458	57	3-HYDROXYBENZALDEHYDE	0
225.08751	55.1	3-HYDROXYKYNURENINE	0
211.0922	54.6	3-METHOXY-L-TYROSINE	0
168.102435	30.4	3-METHOXYTYRAMINE	0
148.07621	29.4	3-METHYL-2-OXINDOLE	0
150.07795	41	3-METHYLADENINE	0
126.1031	72.9	3-METHYLHISTAMINE	0
227.06677	52.5	3-NITRO-L-TYROSINE	0
154.01738	119.6	3-SULFINO-L-ALANINE	1
133.06129	39.5	3-UREIDOPROPIONATE	0
651.79787	38.2	"3,3,5-TRIIODOTHYRONINE"	0
198.07661	62.3	"3,4-DIHYDROXY-L-PHENYLALANINE (L-DOPA)"	0
525.90121	39.6	"3,5-DIIODO-L-THYRONINE"	0
433.8744	47.4	"3,5-DIIODO-L-TYROSINE"	0
393.30046	28.4	"3ALPHA,12ALPHA-DIHYDROXY-5BETA-CHOLANATE"	0
146.08169	34.1	4-ACETAMIDOBUTANOATE	0
138.05548	30	4-AMINOBENZOATE	0
104.07113	70.2	4-AMINOBUTANOATE	1
104.07113	70.2	4-AMINOBUTANOATE; 3-AMINOISOBUTANOATE; 2-AMINO-2-METHYLPROPANOATE	1
165.05515	30	4-COUMARATE	0
146.09293	38.2	4-GUANIDINOBUTANOATE	0
190.05039	48.1	4-HYDROXY-2-QUINOLINECARBOXYLIC ACID	0
