chemical_formula	HMDB_ID	KEGG_compound_ID	mass	ion.type	m.z	Number_profiles_processed	Percent_found	mz_min	mz_max	RT_mean	RT_sd	RT_min	RT_max	int_mean(log)	int_sd(log)	int_min(log)	int_max(log)
C5H9NO4	HMDB0000148	C00025	147.053124	M-H	146.0458	NA	NA	NA	NA	20	NA	NA	NA	NA	NA	NA	NA
C6H14N2O2	HMDB0000182	C00047	146.10553	M-H	145.0983	NA	NA	NA	NA	69	NA	NA	NA	NA	NA	NA	NA
C6H9N3O2	HMDB0000177	C00135	155.069473	M-H	154.0622	NA	NA	NA	NA	23	NA	NA	NA	NA	NA	NA	NA
C11H12N2O2	HMDB0030396	C00078	204.08988	M-H	203.0826	NA	NA	NA	NA	26	NA	NA	NA	NA	NA	NA	NA
C6H14N4O2	HMDB0000517	C00062	174.111679	M-H	173.1044	NA	NA	NA	NA	23	NA	NA	NA	NA	NA	NA	NA
C16H22N6O4	HMDB0060080	-	362.1703	M-H	361.163	NA	NA	NA	NA	24	NA	NA	NA	NA	NA	NA	NA
C15H13I2NO4	HMDB0000582	-	524.8934	M-H	523.8861	NA	NA	NA	NA	31	NA	NA	NA	NA	NA	NA	NA
C15H11I4NO4	HMDB0000248	C01829	776.68672	M-H	775.6794	NA	NA	NA	NA	72	NA	NA	NA	NA	NA	NA	NA
C10H9NO	HMDB0001190	C00637	159.06841	M-H	158.0611	NA	NA	NA	NA	60	NA	NA	NA	NA	NA	NA	NA
C10H9NO2	HMDB0000197	C00954	175.06333	M-H	174.0561	NA	NA	NA	NA	27	NA	NA	NA	NA	NA	NA	NA
C7H14N2O4	HMDB0001370	C00666	190.09536	M-H	189.0881	NA	NA	NA	NA	19	NA	NA	NA	NA	NA	NA	NA
C6H9NO5	HMDB0000812	C01042	175.04807	M-H	174.0408	NA	NA	NA	NA	21	NA	NA	NA	NA	NA	NA	NA
C7H11NO5	HMDB0001138	C00624	189.06372	M-H	188.0564	NA	NA	NA	NA	21	NA	NA	NA	NA	NA	NA	NA
C7H13NO3S	HMDB0011745	C05335	191.06162	M-H	190.0543	NA	NA	NA	NA	22	NA	NA	NA	NA	NA	NA	NA
C3H4O3	HMDB0000243	C00186	88.01605	M-H	87.0087	NA	NA	NA	NA	20	NA	NA	NA	NA	NA	NA	NA
C3H6O3	HMDB0001311	C00164	90.0317	M-H	89.0244	NA	NA	NA	NA	22	NA	NA	NA	NA	NA	NA	NA
C4H6O3	HMDB0000060	C00164	102.0317	M-H	101.0244	NA	NA	NA	NA	22	NA	NA	NA	NA	NA	NA	NA
C4H6O3	HMDB0000005	C00109	102.0317	M-H	101.0244	NA	NA	NA	NA	22	NA	NA	NA	NA	NA	NA	NA
C6H8O7	HMDB0000094	C00158	192.027	M-H	191.0197	NA	NA	NA	NA	19	NA	NA	NA	NA	NA	NA	NA
C6H8O7	HMDB0000193	C00311	192.027	M-H	191.0197	NA	NA	NA	NA	19	NA	NA	NA	NA	NA	NA	NA
C6H6O6	HMDB0000958	C02341	174.0164	M-H	173.0091	NA	NA	NA	NA	19	NA	NA	NA	NA	NA	NA	NA
C5H6O5	HMDB0000208	C00026	146.02153	M-H	145.0142	NA	NA	NA	NA	21	NA	NA	NA	NA	NA	NA	NA
C4H6O4	HMDB0000254	C00042	118.02661	M-H	117.0193	NA	NA	NA	NA	21	NA	NA	NA	NA	NA	NA	NA
C4H6O4	HMDB0000202	C02170	118.02661	M-H	117.0193	NA	NA	NA	NA	21	NA	NA	NA	NA	NA	NA	NA
C4H4O4	HMDB0000134	C00122	116.01096	M-H	115.0037	NA	NA	NA	NA	21	NA	NA	NA	NA	NA	NA	NA
