chemical_formula	HMDB_ID	KEGG_compound_ID	mass	ion.type	m.z	Number_profiles_processed	Percent_found	mz_min	mz_max	RT_mean	RT_sd	RT_min	RT_max	int_mean(log)	int_sd(log)	int_min(log)	int_max(log)
C6H7N	HMDB03012	C00292	93.05785	M+H	94.0651	NA	NA	NA	NA	36	NA	NA	NA	NA	NA	NA	NA
C4H12N2	HMDB01414	C00134	88.10005	M+H	89.1073	NA	NA	NA	NA	73.1	NA	NA	NA	NA	NA	NA	NA
C3H7NO2	HMDB00056	C00099	89.04768	M+H	90.055	NA	NA	NA	NA	70	NA	NA	NA	NA	NA	NA	NA
C3H7NO2	HMDB00271	C00213	89.04768	M+H	90.055	NA	NA	NA	NA	73	NA	NA	NA	NA	NA	NA	NA
C3H7NO2	HMDB00161	C01401	89.04768	M+H	90.055	NA	NA	NA	NA	59	NA	NA	NA	NA	NA	NA	NA
C5H5NO	HMDB13751	C02502	95.03711	M+H	96.0444	NA	NA	NA	NA	43.4	NA	NA	NA	NA	NA	NA	NA
C4H3NO2		C07272	97.01638	M+H	98.0237	NA	NA	NA	NA	40	NA	NA	NA	NA	NA	NA	NA
C5H8O2		C02240	100.05243	M+H	101.0597	NA	NA	NA	NA	30.2	NA	NA	NA	NA	NA	NA	NA
C4H7NO2	HMDB36458	C01234	101.04768	M+H	102.055	NA	NA	NA	NA	59.4	NA	NA	NA	NA	NA	NA	NA
C5H14N2	HMDB02322	C01672	102.1157	M+H	103.123	NA	NA	NA	NA	75.7	NA	NA	NA	NA	NA	NA	NA
C3H5NO3		CA1268	103.02694	M+H	104.0342	NA	NA	NA	NA	38.4	NA	NA	NA	NA	NA	NA	NA
C4H9NO2	HMDB03911	C05145	103.06333	M+H	104.0706	NA	NA	NA	NA	70.2	NA	NA	NA	NA	NA	NA	NA
C4H9NO2	HMDB01906	C03665	103.06333	M+H	104.0706	NA	NA	NA	NA	70.2	NA	NA	NA	NA	NA	NA	NA
C4H9NO2	HMDB00112	C00334	103.06333	M+H	104.0706	NA	NA	NA	NA	70.2	NA	NA	NA	NA	NA	NA	NA
C5H14NO	HMDB00097	C00114	103.0997	M+H	104.107	NA	NA	NA	NA	38	NA	NA	NA	NA	NA	NA	NA
C3H8N2O2	HMDB02006	C03401	104.058578	M+H	105.0659	NA	NA	NA	NA	110.2	NA	NA	NA	NA	NA	NA	NA
C3H7NO3	HMDB00187	C00716	105.04259	M+H	106.05039	NA	NA	NA	NA	87	NA	NA	NA	NA	NA	NA	NA
C3H6O4	HMDB00139	C00258	106.02661	M+H	150.9978	NA	NA	NA	NA	43.2	NA	NA	NA	NA	NA	NA	NA
C7H9N	HMDB33871	C15562	107.0735	M+H	108.0808	NA	NA	NA	NA	30.7	NA	NA	NA	NA	NA	NA	NA
C2H7NO2S	HMDB00965	C00519	109.01975	M+H	110.0271	NA	NA	NA	NA	77.2	NA	NA	NA	NA	NA	NA	NA
C6H7NO		C01987	109.05276	M+H	110.06	NA	NA	NA	NA	30.7	NA	NA	NA	NA	NA	NA	NA
C5H5NO2	HMDB04230	C05942	111.0320284	M+H	112.0393	NA	NA	NA	NA	30	NA	NA	NA	NA	NA	NA	NA
C4H5N3O	HMDB00630	C00380	111.04326	M+H	112.0505	NA	NA	NA	NA	50	NA	NA	NA	NA	NA	NA	NA
C5H9N3	HMDB00870	C00388	111.07965	M+H	112.0869	NA	NA	NA	NA	73.8	NA	NA	NA	NA	NA	NA	NA
C4H4N2O2	HMDB00300	C00106	112.02728	M+H	113.0346	NA	NA	NA	NA	38	NA	NA	NA	NA	NA	NA	NA
C6H8O2		CA1411	112.05243	M+H	113.0597	NA	NA	NA	NA	29.5	NA	NA	NA	NA	NA	NA	NA
C4H7N3O	HMDB00562	C00791	113.05891	M+H	114.0662	NA	NA	NA	NA	40	NA	NA	NA	NA	NA	NA	NA
C4H6N2O2	HMDB00076	C00429	114.04293	M+H	115.0502	NA	NA	NA	NA	37.6	NA	NA	NA	NA	NA	NA	NA
